alpha0_in,eta0_in,kappa_in,eta_sh_in,eta_nosh_in,alpha0_out,eta0_out,kappa_out,eta_sh_out,eta_nosh_out
0.05,0.05,0.05,0.05,0.05,0.0499718629289418,0.981192664476112,0.00262471241876483,1,0.999742513988167
0.35,0.05,0.05,0.05,0.05,0.351372228586115,0.00138897576835006,0.0101159929763526,0.257068131701089,0.260546152247116
0.65,0.05,0.05,0.05,0.05,0.648248545170645,0.426961073280836,0.0172381804877659,0.150014586652105,0.149618127361464
0.95,0.05,0.05,0.05,0.05,0.949163395190681,0.168037039371484,0.0927416452273064,0.0257602124438563,0.0268410327657875
0.05,0.35,0.05,0.05,0.05,0.0518024570628768,0.907870876682864,0.0166034541689442,0.155666837461467,0.155575645658246
0.35,0.35,0.05,0.05,0.05,0.355394119698758,0.705038479594805,0.0139642497597379,0.185823304638689,0.187386642570345
0.65,0.35,0.05,0.05,0.05,0.654404392611468,0.0389101444161497,0.0275412815099116,0.0930381438520271,0.091152292501647
0.95,0.35,0.05,0.05,0.05,0.949230739177437,0.950998510583304,0.0364520563744009,0.0691413686145097,0.0808518881676719
0.05,0.65,0.05,0.05,0.05,0.0596404662937857,0.622337732609594,0.0374216168420389,0.0677021313749719,0.0676053261267953
0.35,0.65,0.05,0.05,0.05,0.348862644659675,0.835639640683439,0.0403863621068012,0.0625276159189525,0.0622900337639294
0.65,0.65,0.05,0.05,0.05,0.65147952362895,0.433451466262341,0.0652519473806024,0.0376736782491207,0.0377367264591157
0.95,0.65,0.05,0.05,0.05,0.951390798087232,0.313035254250281,0.0186328471172601,0.137978774029762,0.147053717519157
0.05,0.95,0.05,0.05,0.05,0.0534610328459166,0.81610873721911,0.0542009382934339,0.0457521377193189,0.0452541321665194
0.35,0.95,0.05,0.05,0.05,0.347036903373009,0.870405596670025,0.0588616544846445,0.0420796359885571,0.0421381146734348
0.65,0.95,0.05,0.05,0.05,0.647723821952241,0.996379441261524,0.0535317127942108,0.0465129861258902,0.0470351130061317
0.95,0.95,0.05,0.05,0.05,0.949883001805574,0.975942796059826,0.0547941948389052,0.0453747636056505,0.0457848585720058
0.05,0.05,0.35,0.05,0.05,0.0631686462570542,0.0379467106818083,0.192981712325036,0.112464746368005,0.113175847609455
0.35,0.05,0.35,0.05,0.05,0.350352022851894,0.0854138557033366,0.217929982336955,0.0965873116501825,0.0965438580615228
0.65,0.05,0.35,0.05,0.05,0.649686182674486,0.0940287982211885,0.190687243562934,0.114257555500444,0.114003157812476
0.95,0.05,0.35,0.05,0.05,0.928810949806575,0.720786739550022,0.339224396149802,0.0524019956246775,0.0524459592925268
0.05,0.35,0.35,0.05,0.05,0.0453355909776292,0.722440718513099,0.187872795977455,0.116281028298545,0.11567072289472
0.35,0.35,0.35,0.05,0.05,0.349151525064372,0.377718365431065,0.246293794567464,0.0823881294054445,0.0826574322127271
0.65,0.35,0.35,0.05,0.05,0.655879841116985,0.67749927148634,0.19507339499205,0.111197940610055,0.111318624964497
0.95,0.35,0.35,0.05,0.05,0.949935885189916,0.3838228500681,0.313576189932064,0.0588636555112316,0.0588938784349011
0.05,0.65,0.35,0.05,0.05,0.0515386186482942,0.999988461356651,0.254196282695233,0.0786579081174636,0.0790234491652484
0.35,0.65,0.35,0.05,0.05,0.347860093255804,0.869759838800746,0.263516188870199,0.0752913317210187,0.0752982687790791
0.65,0.65,0.35,0.05,0.05,0.652404772108866,0.998764317483278,0.235360050953091,0.0874515859608209,0.0878400331030207
0.95,0.65,0.35,0.05,0.05,0.945814050388435,0.593947633575226,0.371736987197437,0.0454486540147627,0.0453649901428435
0.05,0.95,0.35,0.05,0.05,0.0486531834390007,0.999819880456471,0.337744808463867,0.0527822508024656,0.0527714250401914
0.35,0.95,0.35,0.05,0.05,0.347856908092581,0.989759865118685,0.333621665655301,0.0538827725467854,0.0539987461834244
0.65,0.95,0.35,0.05,0.05,0.650882325520797,0.969667890075016,0.342608364862372,0.0516446216452096,0.0516526349556443
0.95,0.95,0.35,0.05,0.05,0.95051734675144,0.974419454403687,0.343629527622397,0.0514621114270994,0.0514757804285182
0.05,0.05,0.65,0.05,0.05,0.0420005921737356,0.0569998274045247,0.62568126674887,0.055327457574549,0.055550921561462
0.35,0.05,0.65,0.05,0.05,0.349717158511339,0.0450991036486812,0.638012665163842,0.0526597618954838,0.0525456214090809
0.65,0.05,0.65,0.05,0.05,0.635284357022321,0.0362704223375108,0.332307822194366,0.189563061988601,0.180768548456332
0.95,0.05,0.65,0.05,0.05,0.878586317998753,0.574976944155082,0.661004728565018,0.047902353894699,0.0475668397010907
0.05,0.35,0.65,0.05,0.05,0.0413994090463561,0.360878919452972,0.642021659460411,0.0517487835953503,0.0517456292579936
0.35,0.35,0.65,0.05,0.05,0.357626885991827,0.5116875562003,0.511711390564351,0.0883615352384055,0.0873894958579911
0.65,0.35,0.65,0.05,0.05,0.634859480867568,0.573870309261077,0.559598706213496,0.070810755428127,0.0734187711401404
0.95,0.35,0.65,0.05,0.05,0.946614409422409,0.316874742735877,0.649513159307048,0.0501300056621403,0.0500995364108121
0.05,0.65,0.65,0.05,0.05,0.0462511805490067,0.669414034962756,0.642954661207114,0.051535793556468,0.0514960647506086
0.35,0.65,0.65,0.05,0.05,0.322874923730296,0.743914654689434,0.624680116510945,0.0552804177689268,0.055977972028586
0.65,0.65,0.65,0.05,0.05,0.651209983079752,0.651115309759916,0.648381027764117,0.0503020735850441,0.0503597482093028
0.95,0.65,0.65,0.05,0.05,0.946811689718743,0.648036879536448,0.650892558305713,0.0498164073287626,0.0497871777442924
0.05,0.95,0.65,0.05,0.05,0.0493535237765172,0.948105675495754,0.650530787395837,0.0498836070473772,0.0498755029766471
0.35,0.95,0.65,0.05,0.05,0.345463483010462,0.956398756414274,0.650077161290028,0.0499971478166117,0.0499957289794111
0.65,0.95,0.65,0.05,0.05,0.650111037772149,0.950200836989097,0.649968998273835,0.0500074608717114,0.0500063279177994
0.95,0.95,0.65,0.05,0.05,0.949876163620502,0.949697277857922,0.650084094726481,0.049979226954747,0.0499784289568197
0.05,0.05,0.95,0.05,0.05,0.0499740766827017,0.0500167312420672,0.950013364556071,0.0499902826704783,0.0499877232286963
0.35,0.05,0.95,0.05,0.05,0.350007636923692,0.0499869520281209,0.950006730141467,0.0499952374084387,0.0499930827209027
0.65,0.05,0.95,0.05,0.05,0.649985845337596,0.0500197705027858,0.949997214320319,0.0500050732584896,0.0500021393686438
0.95,0.05,0.95,0.05,0.05,0.949978458622354,0.0499983824120136,0.949996281378844,0.050009643426165,0.0499990766038536
0.05,0.35,0.95,0.05,0.05,0.0500524983435753,0.349938959945575,0.950004284219176,0.0499942508613458,0.0499948549258988
0.35,0.35,0.95,0.05,0.05,0.350029978697421,0.350041544268606,0.950009067542851,0.0499900443537626,0.0499878804257605
0.65,0.35,0.95,0.05,0.05,0.650099959073486,0.35002818085195,0.949999808641223,0.0499995128320734,0.0500000007741619
0.95,0.35,0.95,0.05,0.05,0.949941143378965,0.349954406141478,0.950006328152085,0.0499949730583467,0.0499973946280079
0.05,0.65,0.95,0.05,0.05,0.0500639316378511,0.650038915984624,0.949999886070145,0.0500003631386789,0.0500001958789653
0.35,0.65,0.95,0.05,0.05,0.349979860120811,0.650104420548814,0.94999069443702,0.0500068401966018,0.0500073246890906
0.65,0.65,0.95,0.05,0.05,0.649890811357182,0.649976605986012,0.950000047705544,0.0500031656119972,0.049999062983261
0.95,0.65,0.95,0.05,0.05,0.950040225925932,0.650017096086685,0.949997737515787,0.0500044217719733,0.0500003240399565
0.05,0.95,0.95,0.05,0.05,0.0500368112770957,0.949928408008418,0.950002811958257,0.0499929752913886,0.0499980576860253
0.35,0.95,0.95,0.05,0.05,0.350146518991096,0.949996943265432,0.950004655140219,0.0499944404582493,0.0499982267792802
0.65,0.95,0.95,0.05,0.05,0.650042623563422,0.949991727238739,0.949998374904681,0.0500029427330446,0.0499996485432348
0.95,0.95,0.95,0.05,0.05,0.950062788135256,0.949985319814004,0.950002152720117,0.0499959616427077,0.0499955689301714
0.05,0.05,0.05,0.35,0.05,0.0504148510517552,0.0425617293221876,0.048610458150506,0.360549594042823,0.051506390911527
0.35,0.05,0.05,0.35,0.05,0.347872925107367,0.0901177095947787,0.0591881185828242,0.292604204005329,0.0417523524374701
0.65,0.05,0.05,0.35,0.05,0.648097665789464,0.243784204989424,0.0363175672355283,0.489036144455895,0.0710736139517394
0.95,0.05,0.05,0.35,0.05,0.949268562515499,0.361740427964833,0.0558175906189717,0.311646424961509,0.0446172308875248
0.05,0.35,0.05,0.35,0.05,0.0497179619633243,0.615249164759007,0.0303372780181235,0.588060586364008,0.0842145847345819
0.35,0.35,0.05,0.35,0.05,0.3525810794672,0.471767350332811,0.0297813294455409,0.598110443796031,0.0857022828422487
0.65,0.35,0.05,0.35,0.05,0.652345800930107,0.197480927160541,0.0541586740396269,0.321816537355517,0.0460086153825614
0.95,0.35,0.05,0.35,0.05,0.950846836320125,0.00530622340738773,0.0460026578512043,0.381785659817979,0.0547589740017429
0.05,0.65,0.05,0.35,0.05,0.0490618931570452,0.93659407278119,0.0335117144460355,0.530519847596679,0.0756877250200887
0.35,0.65,0.05,0.35,0.05,0.350437348337437,0.972022939853559,0.0333142455019697,0.534319278693147,0.0786895600904245
0.65,0.65,0.05,0.35,0.05,0.64786075160373,0.831686830730177,0.0465422521810979,0.377388904220425,0.0540105615509674
0.95,0.65,0.05,0.35,0.05,0.950063020340167,0.869282328058034,0.0439832421252504,0.400342390756123,0.057501143310219
0.05,0.95,0.05,0.35,0.05,0.0546803197721601,0.900587050775357,0.047601388185285,0.368594261432008,0.0526786923001055
0.35,0.95,0.05,0.35,0.05,0.351998701808043,0.702436439925805,0.0630596235860139,0.273596713435836,0.0384573792107403
0.65,0.95,0.05,0.35,0.05,0.652729236797313,0.652145993568411,0.0612718374541146,0.282444348275021,0.0406550302141113
0.95,0.95,0.05,0.35,0.05,0.950085375889103,0.81025699077145,0.0528536549554701,0.330152151842412,0.04690183942148
0.05,0.05,0.35,0.35,0.05,0.0551625529169542,0.0345184297948435,0.352871323801082,0.345937866763052,0.0493235702197126
0.35,0.05,0.35,0.35,0.05,0.350555753887875,0.048527638669384,0.349829885272811,0.350258325979667,0.0500250401050835
0.65,0.05,0.35,0.35,0.05,0.649342452234123,0.0484573009889573,0.349670239171246,0.350491133576725,0.0500724868907128
0.95,0.05,0.35,0.35,0.05,0.94777441280894,0.0868737172131659,0.341263553396857,0.363553805036645,0.052002464326506
0.05,0.35,0.35,0.35,0.05,0.0508438460005891,0.35285919703864,0.345925928032813,0.356268109855051,0.0510087602930014
0.35,0.35,0.35,0.35,0.05,0.349993979798455,0.341406858140545,0.345680791091581,0.356490127349389,0.0509768011543201
0.65,0.35,0.35,0.35,0.05,0.649794418131933,0.340794926538365,0.357608597987564,0.339077831507893,0.0481885068875272
0.95,0.35,0.35,0.35,0.05,0.950840632811378,0.352485382367377,0.348847873119666,0.351805643325861,0.0502359016300034
0.05,0.65,0.35,0.35,0.05,0.0519285839645818,0.643192206327058,0.351381719423898,0.348053238379634,0.0496709117869614
0.35,0.65,0.35,0.35,0.05,0.348847307766846,0.654358102961851,0.349781328106474,0.350318155717105,0.0500513750812388
0.65,0.65,0.35,0.35,0.05,0.649949936512712,0.650192084496666,0.349833370502893,0.350235785752375,0.0500379235727451
0.95,0.65,0.35,0.35,0.05,0.95428647455641,0.513473674877558,0.345687830035885,0.356152544162281,0.0509795150729992
0.05,0.95,0.35,0.35,0.05,0.0488369999366114,0.962788143726357,0.346746667712068,0.355031064887953,0.0507481740605726
0.35,0.95,0.35,0.35,0.05,0.348430299749452,0.959027736713324,0.348610591570832,0.352016439201179,0.0503462985398073
0.65,0.95,0.35,0.35,0.05,0.650170143780997,0.953209878935013,0.349144829116995,0.351287100813352,0.0501984183501918
0.95,0.95,0.35,0.35,0.05,0.950624494299063,0.985092296534276,0.351217145727333,0.348220097654576,0.0497105456956888
0.05,0.05,0.65,0.35,0.05,0.0500155501722475,0.0499262072335114,0.650042349319847,0.349934437334014,0.0499927306154859
0.35,0.05,0.65,0.35,0.05,0.350017667398788,0.0499546645733062,0.650012189144036,0.349995190685149,0.0499972875404637
0.65,0.05,0.65,0.35,0.05,0.649918586046624,0.050202476708364,0.649887949559343,0.35015257860141,0.0500232207923546
0.95,0.05,0.65,0.35,0.05,0.950138578307815,0.0501408684649505,0.650049469259102,0.349940347543452,0.0499836420931388
0.05,0.35,0.65,0.35,0.05,0.0500837652944028,0.349895290564746,0.649993902537972,0.350019855890423,0.0499986498616636
0.35,0.35,0.65,0.35,0.05,0.349942180968355,0.350021925230976,0.64998094769544,0.350033397000516,0.050000866787741
0.65,0.35,0.65,0.35,0.05,0.649958495981991,0.350075374357402,0.649995754472911,0.350003575906157,0.0500001860782504
0.95,0.35,0.65,0.35,0.05,0.949927202746039,0.349974565930097,0.65000885322479,0.35000330557159,0.0499965896779031
0.05,0.65,0.65,0.35,0.05,0.0500569855794311,0.649995472922456,0.649997700587846,0.349998723424505,0.0500002294429578
0.35,0.65,0.65,0.35,0.05,0.34992303414765,0.649882014535251,0.650051767734112,0.349941659915203,0.0499857664108276
0.65,0.65,0.65,0.35,0.05,0.649982612609165,0.650017155450769,0.650017163396114,0.349967336136615,0.0499967402138282
0.95,0.65,0.65,0.35,0.05,0.94999453064338,0.65000436426044,0.649995186667184,0.350003723012833,0.0500079966250269
0.05,0.95,0.65,0.35,0.05,0.0501055357526639,0.949833961596596,0.650040070708201,0.349948349685292,0.0499867801554501
0.35,0.95,0.65,0.35,0.05,0.34999175008852,0.950064523523906,0.649968124052975,0.350031468988163,0.0500082029320765
0.65,0.95,0.65,0.35,0.05,0.650099933154706,0.950116229119885,0.649961613096821,0.350070344371488,0.0500100466379081
0.95,0.95,0.65,0.35,0.05,0.950070306884299,0.950246340318699,0.649992659382406,0.350011597241974,0.0500036170342355
0.05,0.05,0.95,0.35,0.05,0.0500189034546565,0.0499818144976416,0.950005837528806,0.349982288992578,0.0499976282912939
0.35,0.05,0.95,0.35,0.05,0.350080874406558,0.0500405433172091,0.950005056211012,0.349969277782293,0.0499945476412904
0.65,0.05,0.95,0.35,0.05,0.650037630011866,0.0500401082226745,0.950003344178185,0.349984824331841,0.0500001578111551
0.95,0.05,0.95,0.35,0.05,0.949992527388986,0.0500077088463513,0.949996020555773,0.350009152149596,0.0500008249646271
0.05,0.35,0.95,0.35,0.05,0.0500327307490807,0.349995714597753,0.949994302152845,0.350017232689424,0.0500008059079846
0.35,0.35,0.95,0.35,0.05,0.349937282502651,0.350032841786742,0.949992101639509,0.35001221857965,0.050000948831439
0.65,0.35,0.95,0.35,0.05,0.649895703303628,0.35008561128052,0.950001588287705,0.349974868069694,0.0500020197068807
0.95,0.35,0.95,0.35,0.05,0.94997348904144,0.349950909527251,0.950007135368651,0.349967934715096,0.0499974030826706
0.05,0.65,0.95,0.35,0.05,0.0499523445032537,0.649982693023048,0.950003535370342,0.34998870792333,0.0499978705774993
0.35,0.65,0.95,0.35,0.05,0.350041880650679,0.650003519491293,0.950001915800385,0.349998688412597,0.0500063801882789
0.65,0.65,0.95,0.35,0.05,0.649993653874844,0.650055470410734,0.950003409292549,0.349993524607271,0.0500022289343178
0.95,0.65,0.95,0.35,0.05,0.949971351074055,0.649980134796351,0.949997179210186,0.34998992329929,0.049997508758679
0.05,0.95,0.95,0.35,0.05,0.0501212868839502,0.94998287782073,0.950004037469625,0.349977876991034,0.0499968063086271
0.35,0.95,0.95,0.35,0.05,0.350011011585593,0.950087428092957,0.950003698468208,0.349992342293262,0.0500005334615707
0.65,0.95,0.95,0.35,0.05,0.649957166962849,0.949984102822782,0.949999693570135,0.350009009052883,0.0500023791246349
0.95,0.95,0.95,0.35,0.05,0.950001327546488,0.950001755787525,0.950002065183071,0.350000286300201,0.0499965121707646
0.05,0.05,0.05,0.65,0.05,0.0518107750394847,0.0121824766974896,0.0551982644828968,0.585023402963998,0.0451136517513078
0.35,0.05,0.05,0.65,0.05,0.347698451281758,0.156260919466149,0.0350684893783182,0.938345690636197,0.0733819019224029
0.65,0.05,0.05,0.65,0.05,0.648674413459958,0.1122977765408,0.0538800850263215,0.600400071532931,0.0462317635247018
0.95,0.05,0.05,0.65,0.05,0.949672416783869,0.0508830519393086,0.0473199510015547,0.688882114714943,0.0530243592802435
0.05,0.35,0.05,0.65,0.05,0.0447447429760359,0.452779084385838,0.0501602634321898,0.64775460868259,0.0498094123613555
0.35,0.35,0.05,0.65,0.05,0.354322819242952,0.1872600808274,0.0572013642522506,0.563452641654294,0.0436103109677788
0.65,0.35,0.05,0.65,0.05,0.651099554961547,0.385466088191606,0.0388657576404512,0.845501432544552,0.0647449793759733
0.95,0.35,0.05,0.65,0.05,0.94829466054216,0.902356184087694,0.0526627082144842,0.615235715871677,0.047362990793772
0.05,0.65,0.05,0.65,0.05,0.0500570058356971,0.720027656410821,0.0453722279053181,0.72012918360997,0.055455349967815
0.35,0.65,0.05,0.65,0.05,0.348385176039301,0.692005140008405,0.0502671668073162,0.646367653738707,0.0497134486213326
0.65,0.65,0.05,0.65,0.05,0.647297449148027,0.952616337599466,0.0421443937812001,0.777321178087732,0.0603141722385772
0.95,0.65,0.05,0.65,0.05,0.950620571966283,0.400013540289365,0.0483894346980378,0.67228346853517,0.0517405737191439
0.05,0.95,0.05,0.65,0.05,0.0545361710519501,0.981754654812903,0.0526922769186058,0.615126571425208,0.0473521943476953
0.35,0.95,0.05,0.65,0.05,0.344206916977782,0.991748963871942,0.0440800597934867,0.742283510851848,0.0569270878804673
0.65,0.95,0.05,0.65,0.05,0.65621179388836,0.612093739793636,0.051017779042013,0.637015670770779,0.0492523517459631
0.95,0.95,0.05,0.65,0.05,0.950189299906924,0.575319096858948,0.0562777488539723,0.573822381900754,0.0443683665416756
0.05,0.05,0.35,0.65,0.05,0.048567405086942,0.0438265210250393,0.349675322300754,0.650913132936694,0.0500758708221838
0.35,0.05,0.35,0.65,0.05,0.349682013213169,0.0492360506905243,0.350020774931181,0.649925451114541,0.0499975138227455
0.65,0.05,0.35,0.65,0.05,0.649993316823384,0.0480940481356811,0.350028695858782,0.649865282641258,0.0500054082658608
0.95,0.05,0.35,0.65,0.05,0.949900119332597,0.0499098168802448,0.350085281737847,0.649747372808633,0.0499724882247392
0.05,0.35,0.35,0.65,0.05,0.0501325716377323,0.350242554104625,0.349992084460609,0.650062343007448,0.0499978951083904
0.35,0.35,0.35,0.65,0.05,0.35062892325368,0.350891831782064,0.349961188287125,0.650129649198789,0.0499840488992049
0.65,0.35,0.35,0.65,0.05,0.649051102489466,0.348787809256464,0.350031536827373,0.64994982585813,0.0499938337161439
0.95,0.35,0.35,0.65,0.05,0.94997393101221,0.34974799684278,0.350148151403118,0.649650518738781,0.0499541669414612
0.05,0.65,0.35,0.65,0.05,0.0487825771269854,0.655655377893709,0.350655739894137,0.64818987849867,0.0498277405567933
0.35,0.65,0.35,0.65,0.05,0.350034464412602,0.649519595048332,0.350114058053805,0.64972422730898,0.0499637879474903
0.65,0.65,0.35,0.65,0.05,0.650216709880624,0.650367092574015,0.349988488393137,0.650008647033246,0.0500041594204959
0.95,0.65,0.35,0.65,0.05,0.949934337375453,0.649964564945549,0.349982210551389,0.65011628009961,0.0499956966959871
0.05,0.95,0.35,0.65,0.05,0.0501783960498869,0.950054271612316,0.349795338697731,0.650530708022416,0.0500523513182998
0.35,0.95,0.35,0.65,0.05,0.350543888402171,0.951121727004647,0.35008607362397,0.649809840018861,0.0499742347747087
0.65,0.95,0.35,0.65,0.05,0.650082153821131,0.949948966037482,0.350139436166501,0.649635777488584,0.0499642505601514
0.95,0.95,0.35,0.65,0.05,0.949041583983785,0.915089786387853,0.350787410339194,0.647881115086307,0.0498210040987033
0.05,0.05,0.65,0.65,0.05,0.0503041349220439,0.0497231818881119,0.649970831647806,0.650069347007957,0.050013191474136
0.35,0.05,0.65,0.65,0.05,0.350074549467536,0.0498739657632541,0.650040168518899,0.649926831654739,0.0499871733773034
0.65,0.05,0.65,0.65,0.05,0.65000290190801,0.0500438155722804,0.649988811754156,0.650013825943461,0.0500077728647739
0.95,0.05,0.65,0.65,0.05,0.950076118810102,0.0500329087954015,0.649983204435557,0.65000947820954,0.0500093029113486
0.05,0.35,0.65,0.65,0.05,0.0499466645705979,0.350143840245437,0.650014521117555,0.649992624123115,0.0499829212785698
